gender;age_category;5km_time;time
0;50;1867;8173
0;50;1802;8202
0;50;1851;8203
0;50;1851;8218
0;50;1740;8219
0;50;1845;8220
0;50;1937;8241
0;50;1741;8265
0;50;1941;8269
0;50;1665;8274
0;50;1872;8277
0;50;1840;8282
0;50;1715;8300
0;50;1864;8302
0;50;1900;8304
0;50;2057;8314
0;50;1774;8329
0;50;1984;8348
0;50;1963;8349
0;50;1893;8367
0;50;1829;8373
0;50;1779;8381
0;50;1873;8384
0;50;1481;8390
0;50;1982;8397
0;50;1807;8398
0;50;1896;8418
0;50;1668;8432
0;50;1849;8438
0;50;1815;8440
0;50;1900;8442
0;50;1890;8446
0;50;1719;8456
0;50;1846;8457
0;50;1590;8458
0;50;1889;8473
0;50;1743;8482
0;50;1953;8482
0;50;1877;8509
0;50;1965;8509
0;50;1934;8510
0;50;1838;8517
0;50;1992;8520
0;50;2103;8531
0;50;1891;8536
0;50;1983;8542
0;50;1937;8558
0;50;1942;8563
0;50;1812;8572
0;50;1906;8607
0;50;1724;8611
0;50;1811;8626
0;50;1959;8641
0;50;1854;8642
0;50;1958;8650
0;50;1811;8652
0;50;1634;8661
0;50;2034;8664
0;50;2033;8665
0;50;1986;8666
0;50;1883;8697
0;50;1801;8706
0;50;1907;8717
0;50;1859;8723
0;50;2059;8727
0;50;1878;8738
0;50;1929;8746
0;50;2012;8751
0;50;1855;8757
0;50;1891;8762
0;50;1873;8780
0;50;1806;8813
0;50;1784;8820
0;50;2138;8821
0;50;2040;8822
0;50;1847;8823
0;50;2063;8827
0;50;1937;8844
0;50;1957;8845
0;50;1806;8847
0;50;2055;8853
0;50;2031;8857
0;50;1934;8886
0;50;1966;8890
0;50;1962;8899
0;50;1636;8904
0;50;2100;8922
0;50;1994;8924
0;50;2092;8927
0;50;2013;8932
0;50;1992;8936
0;50;1706;8941
0;50;2134;8941
0;50;2010;8946
0;50;2295;8960
0;50;1831;8964
0;50;1913;8965
0;50;1969;8977
0;50;1921;8992
0;50;1926;9013
0;50;1687;9013
0;50;1972;9022
0;50;1894;9027
0;50;2109;9032
0;50;1759;9035
0;50;1984;9039
0;50;1986;9063
0;50;1981;9065
0;50;2098;9099
0;50;2170;9114
0;50;1978;9155
0;50;1999;9158
0;50;2152;9171
0;50;2037;9173
0;50;2069;9182
0;50;2060;9196
0;50;1783;9220
0;50;2020;9235
0;50;2087;9266
0;50;2110;9273
0;50;2159;9310
0;50;2088;9324
0;50;2137;9335
0;50;1770;9353
0;50;2076;9358
0;50;1938;9375
0;50;2036;9381
0;50;1790;9434
0;50;2122;9434
0;50;2053;9436
0;50;2191;9523
0;50;2052;9534
0;50;2014;9536
0;50;2021;9539
0;50;2028;9539
0;50;1979;9620
0;50;2247;9623
0;50;2164;9633
0;50;2177;9662
0;50;2314;9667
0;50;2172;9733
0;50;2122;9758
0;50;1928;9762
0;50;1984;9765
0;50;2024;9850
0;50;2279;9916
0;50;2208;9948
0;50;2157;9948
0;50;2103;9991
0;50;2237;10012
0;60;1232;5148
0;60;1249;5541
0;60;1305;5624
0;60;1310;5680
0;60;1286;5784
0;60;1360;5796
0;60;1307;5912
0;60;1396;5946
0;60;1361;5947
0;60;1370;5973
0;60;1377;5986
0;60;1397;6035
0;60;1436;6139
0;60;1437;6153
0;60;1374;6154
0;60;1363;6176
0;60;1443;6201
0;60;1437;6220
0;60;1444;6224
0;60;1432;6235
0;60;1424;6242
0;60;1424;6242
0;60;1396;6243
0;60;1360;6271
0;60;1489;6274
0;60;1342;6306
0;60;1509;6342
0;60;1505;6372
0;60;1518;6383
0;60;1556;6417
0;60;1417;6422
0;60;1495;6430
0;60;1476;6434
0;60;1448;6486
0;60;1478;6501
0;60;1490;6564
0;60;1479;6570
0;60;1557;6576
0;60;1537;6606
0;60;1450;6609
0;60;1493;6624
0;60;1532;6627
0;60;1563;6641
0;60;1491;6655
0;60;1493;6668
0;60;1531;6692
0;60;1604;6698
0;60;1568;6706
0;60;1547;6717
0;60;1575;6737
0;60;1478;6738
0;60;1583;6739
0;60;1582;6742
0;60;1564;6745
0;60;1565;6769
0;60;1312;6780
0;60;1438;6791
0;60;1480;6791
0;60;1603;6801
0;60;1581;6807
0;60;1553;6809
0;60;1590;6822
0;60;1576;6832
0;60;1545;6850
